1.00E+00	1.00E+00	1.00E+00	1.00E+00	1.00E+00	1.00E+00	1.00E+00	1.00E+00	1.00E+00	1.00E+00
1.53E+00	1.53E+00	1.53E+00	1.53E+00	1.53E+00	1.53E+00	1.53E+00	1.53E+00	1.53E+00	1.53E+00
2.06E+00	2.06E+00	2.06E+00	2.06E+00	2.06E+00	2.06E+00	2.06E+00	2.06E+00	2.06E+00	2.06E+00
2.59E+00	2.59E+00	2.59E+00	2.59E+00	2.59E+00	2.59E+00	2.59E+00	2.59E+00	2.59E+00	2.59E+00
3.12E+00	3.12E+00	3.12E+00	3.12E+00	3.12E+00	3.12E+00	3.12E+00	3.12E+00	3.12E+00	3.12E+00
3.65E+00	3.65E+00	3.65E+00	3.65E+00	3.65E+00	3.65E+00	3.65E+00	3.65E+00	3.65E+00	3.65E+00
4.18E+00	4.18E+00	4.18E+00	4.18E+00	4.18E+00	4.18E+00	4.18E+00	4.18E+00	4.18E+00	4.18E+00
4.71E+00	4.71E+00	4.71E+00	4.71E+00	4.71E+00	4.71E+00	4.71E+00	4.71E+00	4.71E+00	4.71E+00
5.24E+00	5.24E+00	5.24E+00	5.24E+00	5.24E+00	5.24E+00	5.24E+00	5.24E+00	5.24E+00	5.24E+00
5.77E+00	5.77E+00	5.77E+00	5.77E+00	5.77E+00	5.77E+00	5.77E+00	5.77E+00	5.77E+00	5.77E+00
6.30E+00	6.30E+00	6.30E+00	6.30E+00	6.30E+00	6.30E+00	6.30E+00	6.30E+00	6.30E+00	6.30E+00
6.83E+00	6.83E+00	6.83E+00	6.83E+00	6.83E+00	6.83E+00	6.83E+00	6.83E+00	6.83E+00	6.83E+00
7.36E+00	7.36E+00	7.36E+00	7.36E+00	7.36E+00	7.36E+00	7.36E+00	7.36E+00	7.36E+00	7.36E+00
7.89E+00	7.89E+00	7.89E+00	7.89E+00	7.89E+00	7.89E+00	7.89E+00	7.89E+00	7.89E+00	7.89E+00
8.42E+00	8.42E+00	8.42E+00	8.42E+00	8.42E+00	8.42E+00	8.42E+00	8.42E+00	8.42E+00	8.42E+00
8.95E+00	8.95E+00	8.95E+00	8.95E+00	8.95E+00	8.95E+00	8.95E+00	8.95E+00	8.95E+00	8.95E+00
9.48E+00	9.48E+00	9.48E+00	9.48E+00	9.48E+00	9.48E+00	9.48E+00	9.48E+00	9.48E+00	9.48E+00
1.00E+01	1.00E+01	1.00E+01	1.00E+01	1.00E+01	1.00E+01	1.00E+01	1.00E+01	1.00E+01	1.00E+01
1.05E+01	1.05E+01	1.05E+01	1.05E+01	1.05E+01	1.05E+01	1.05E+01	1.05E+01	1.05E+01	1.05E+01
1.11E+01	1.11E+01	1.11E+01	1.11E+01	1.11E+01	1.11E+01	1.11E+01	1.11E+01	1.11E+01	1.11E+01
1.16E+01	1.16E+01	1.16E+01	1.16E+01	1.16E+01	1.16E+01	1.16E+01	1.16E+01	1.16E+01	1.16E+01
1.21E+01	1.21E+01	1.21E+01	1.21E+01	1.21E+01	1.21E+01	1.21E+01	1.21E+01	1.21E+01	1.21E+01
1.27E+01	1.27E+01	1.27E+01	1.27E+01	1.27E+01	1.27E+01	1.27E+01	1.27E+01	1.27E+01	1.27E+01
1.32E+01	1.32E+01	1.32E+01	1.32E+01	1.32E+01	1.32E+01	1.32E+01	1.32E+01	1.32E+01	1.32E+01
1.37E+01	1.37E+01	1.37E+01	1.37E+01	1.37E+01	1.37E+01	1.37E+01	1.37E+01	1.37E+01	1.37E+01
1.43E+01	1.43E+01	1.43E+01	1.43E+01	1.43E+01	1.43E+01	1.43E+01	1.43E+01	1.43E+01	1.43E+01
1.48E+01	1.48E+01	1.48E+01	1.48E+01	1.48E+01	1.48E+01	1.48E+01	1.48E+01	1.48E+01	1.48E+01
1.53E+01	1.53E+01	1.53E+01	1.53E+01	1.53E+01	1.53E+01	1.53E+01	1.53E+01	1.53E+01	1.53E+01
1.58E+01	1.58E+01	1.58E+01	1.58E+01	1.58E+01	1.58E+01	1.58E+01	1.58E+01	1.58E+01	1.58E+01
1.64E+01	1.64E+01	1.64E+01	1.64E+01	1.64E+01	1.64E+01	1.64E+01	1.64E+01	1.64E+01	1.64E+01
1.69E+01	1.69E+01	1.69E+01	1.69E+01	1.69E+01	1.69E+01	1.69E+01	1.69E+01	1.69E+01	1.69E+01
1.74E+01	1.74E+01	1.74E+01	1.74E+01	1.74E+01	1.74E+01	1.74E+01	1.74E+01	1.74E+01	1.74E+01
1.80E+01	1.80E+01	1.80E+01	1.80E+01	1.80E+01	1.80E+01	1.80E+01	1.80E+01	1.80E+01	1.80E+01
1.85E+01	1.85E+01	1.85E+01	1.85E+01	1.85E+01	1.85E+01	1.85E+01	1.85E+01	1.85E+01	1.85E+01
1.90E+01	1.90E+01	1.90E+01	1.90E+01	1.90E+01	1.90E+01	1.90E+01	1.90E+01	1.90E+01	1.90E+01
1.96E+01	1.96E+01	1.96E+01	1.96E+01	1.96E+01	1.96E+01	1.96E+01	1.96E+01	1.96E+01	1.96E+01
2.01E+01	2.01E+01	2.01E+01	2.01E+01	2.01E+01	2.01E+01	2.01E+01	2.01E+01	2.01E+01	2.01E+01
2.06E+01	2.06E+01	2.06E+01	2.06E+01	2.06E+01	2.06E+01	2.06E+01	2.06E+01	2.06E+01	2.06E+01
2.11E+01	2.11E+01	2.11E+01	2.11E+01	2.11E+01	2.11E+01	2.11E+01	2.11E+01	2.11E+01	2.11E+01
2.17E+01	2.17E+01	2.17E+01	2.17E+01	2.17E+01	2.17E+01	2.17E+01	2.17E+01	2.17E+01	2.17E+01
2.22E+01	2.22E+01	2.22E+01	2.22E+01	2.22E+01	2.22E+01	2.22E+01	2.22E+01	2.22E+01	2.22E+01
2.27E+01	2.27E+01	2.27E+01	2.27E+01	2.27E+01	2.27E+01	2.27E+01	2.27E+01	2.27E+01	2.27E+01
2.33E+01	2.33E+01	2.33E+01	2.33E+01	2.33E+01	2.33E+01	2.33E+01	2.33E+01	2.33E+01	2.33E+01
2.38E+01	2.38E+01	2.38E+01	2.38E+01	2.38E+01	2.38E+01	2.38E+01	2.38E+01	2.38E+01	2.38E+01
2.43E+01	2.43E+01	2.43E+01	2.43E+01	2.43E+01	2.43E+01	2.43E+01	2.43E+01	2.43E+01	2.43E+01
2.49E+01	2.49E+01	2.49E+01	2.49E+01	2.49E+01	2.49E+01	2.49E+01	2.49E+01	2.49E+01	2.49E+01
2.54E+01	2.54E+01	2.54E+01	2.54E+01	2.54E+01	2.54E+01	2.54E+01	2.54E+01	2.54E+01	2.54E+01
2.59E+01	2.59E+01	2.59E+01	2.59E+01	2.59E+01	2.59E+01	2.59E+01	2.59E+01	2.59E+01	2.59E+01
2.64E+01	2.64E+01	2.64E+01	2.64E+01	2.64E+01	2.64E+01	2.64E+01	2.64E+01	2.64E+01	2.64E+01
2.70E+01	2.70E+01	2.70E+01	2.70E+01	2.70E+01	2.70E+01	2.70E+01	2.70E+01	2.70E+01	2.70E+01
2.75E+01	2.75E+01	2.75E+01	2.75E+01	2.75E+01	2.75E+01	2.75E+01	2.75E+01	2.75E+01	2.75E+01
2.80E+01	2.80E+01	2.80E+01	2.80E+01	2.80E+01	2.80E+01	2.80E+01	2.80E+01	2.80E+01	2.80E+01
2.86E+01	2.86E+01	2.86E+01	2.86E+01	2.86E+01	2.86E+01	2.86E+01	2.86E+01	2.86E+01	2.86E+01
2.91E+01	2.91E+01	2.91E+01	2.91E+01	2.91E+01	2.91E+01	2.91E+01	2.91E+01	2.91E+01	2.91E+01
2.96E+01	2.96E+01	2.96E+01	2.96E+01	2.96E+01	2.96E+01	2.96E+01	2.96E+01	2.96E+01	2.96E+01
3.02E+01	3.02E+01	3.02E+01	3.02E+01	3.02E+01	3.02E+01	3.02E+01	3.02E+01	3.02E+01	3.02E+01
3.07E+01	3.07E+01	3.07E+01	3.07E+01	3.07E+01	3.07E+01	3.07E+01	3.07E+01	3.07E+01	3.07E+01
3.12E+01	3.12E+01	3.12E+01	3.12E+01	3.12E+01	3.12E+01	3.12E+01	3.12E+01	3.12E+01	3.12E+01
3.17E+01	3.17E+01	3.17E+01	3.17E+01	3.17E+01	3.17E+01	3.17E+01	3.17E+01	3.17E+01	3.17E+01
3.23E+01	3.23E+01	3.23E+01	3.23E+01	3.23E+01	3.23E+01	3.23E+01	3.23E+01	3.23E+01	3.23E+01
3.28E+01	3.28E+01	3.28E+01	3.28E+01	3.28E+01	3.28E+01	3.28E+01	3.28E+01	3.28E+01	3.28E+01
3.33E+01	3.33E+01	3.33E+01	3.33E+01	3.33E+01	3.33E+01	3.33E+01	3.33E+01	3.33E+01	3.33E+01
3.39E+01	3.39E+01	3.39E+01	3.39E+01	3.39E+01	3.39E+01	3.39E+01	3.39E+01	3.39E+01	3.39E+01
3.44E+01	3.44E+01	3.44E+01	3.44E+01	3.44E+01	3.44E+01	3.44E+01	3.44E+01	3.44E+01	3.44E+01
3.49E+01	3.49E+01	3.49E+01	3.49E+01	3.49E+01	3.49E+01	3.49E+01	3.49E+01	3.49E+01	3.49E+01
3.55E+01	3.55E+01	3.55E+01	3.55E+01	3.55E+01	3.55E+01	3.55E+01	3.55E+01	3.55E+01	3.55E+01
3.60E+01	3.60E+01	3.60E+01	3.60E+01	3.60E+01	3.60E+01	3.60E+01	3.60E+01	3.60E+01	3.60E+01
3.65E+01	3.65E+01	3.65E+01	3.65E+01	3.65E+01	3.65E+01	3.65E+01	3.65E+01	3.65E+01	3.65E+01
3.70E+01	3.70E+01	3.70E+01	3.70E+01	3.70E+01	3.70E+01	3.70E+01	3.70E+01	3.70E+01	3.70E+01
3.76E+01	3.76E+01	3.76E+01	3.76E+01	3.76E+01	3.76E+01	3.76E+01	3.76E+01	3.76E+01	3.76E+01
3.81E+01	3.81E+01	3.81E+01	3.81E+01	3.81E+01	3.81E+01	3.81E+01	3.81E+01	3.81E+01	3.81E+01
3.86E+01	3.86E+01	3.86E+01	3.86E+01	3.86E+01	3.86E+01	3.86E+01	3.86E+01	3.86E+01	3.86E+01
3.92E+01	3.92E+01	3.92E+01	3.92E+01	3.92E+01	3.92E+01	3.92E+01	3.92E+01	3.92E+01	3.92E+01
3.97E+01	3.97E+01	3.97E+01	3.97E+01	3.97E+01	3.97E+01	3.97E+01	3.97E+01	3.97E+01	3.97E+01
4.02E+01	4.02E+01	4.02E+01	4.02E+01	4.02E+01	4.02E+01	4.02E+01	4.02E+01	4.02E+01	4.02E+01
4.08E+01	4.08E+01	4.08E+01	4.08E+01	4.08E+01	4.08E+01	4.08E+01	4.08E+01	4.08E+01	4.08E+01
4.13E+01	4.13E+01	4.13E+01	4.13E+01	4.13E+01	4.13E+01	4.13E+01	4.13E+01	4.13E+01	4.13E+01
4.18E+01	4.18E+01	4.18E+01	4.18E+01	4.18E+01	4.18E+01	4.18E+01	4.18E+01	4.18E+01	4.18E+01
4.23E+01	4.23E+01	4.23E+01	4.23E+01	4.23E+01	4.23E+01	4.23E+01	4.23E+01	4.23E+01	4.23E+01
4.29E+01	4.29E+01	4.29E+01	4.29E+01	4.29E+01	4.29E+01	4.29E+01	4.29E+01	4.29E+01	4.29E+01
4.34E+01	4.34E+01	4.34E+01	4.34E+01	4.34E+01	4.34E+01	4.34E+01	4.34E+01	4.34E+01	4.34E+01
4.39E+01	4.39E+01	4.39E+01	4.39E+01	4.39E+01	4.39E+01	4.39E+01	4.39E+01	4.39E+01	4.39E+01
4.45E+01	4.45E+01	4.45E+01	4.45E+01	4.45E+01	4.45E+01	4.45E+01	4.45E+01	4.45E+01	4.45E+01
4.50E+01	4.50E+01	4.50E+01	4.50E+01	4.50E+01	4.50E+01	4.50E+01	4.50E+01	4.50E+01	4.50E+01
4.55E+01	4.55E+01	4.55E+01	4.55E+01	4.55E+01	4.55E+01	4.55E+01	4.55E+01	4.55E+01	4.55E+01
4.61E+01	4.61E+01	4.61E+01	4.61E+01	4.61E+01	4.61E+01	4.61E+01	4.61E+01	4.61E+01	4.61E+01
4.66E+01	4.66E+01	4.66E+01	4.66E+01	4.66E+01	4.66E+01	4.66E+01	4.66E+01	4.66E+01	4.66E+01
4.71E+01	4.71E+01	4.71E+01	4.71E+01	4.71E+01	4.71E+01	4.71E+01	4.71E+01	4.71E+01	4.71E+01
4.76E+01	4.76E+01	4.76E+01	4.76E+01	4.76E+01	4.76E+01	4.76E+01	4.76E+01	4.76E+01	4.76E+01
4.82E+01	4.82E+01	4.82E+01	4.82E+01	4.82E+01	4.82E+01	4.82E+01	4.82E+01	4.82E+01	4.82E+01
4.87E+01	4.87E+01	4.87E+01	4.87E+01	4.87E+01	4.87E+01	4.87E+01	4.87E+01	4.87E+01	4.87E+01
4.92E+01	4.92E+01	4.92E+01	4.92E+01	4.92E+01	4.92E+01	4.92E+01	4.92E+01	4.92E+01	4.92E+01
4.98E+01	4.98E+01	4.98E+01	4.98E+01	4.98E+01	4.98E+01	4.98E+01	4.98E+01	4.98E+01	4.98E+01
