Age_[ka],Sea_level_[m]
382.38,-35.43
385.76,-21.89
389.01,-5.95
392.78,-12.42
395.05,10.73
396.30,9.91
397.56,13.93
399.58,13.13
400.33,9.13
403.10,24.32
405.87,5.13
408.83,2.73
412.30,12.69
416.51,-6.23
420.14,-56.32
424.04,-71.63
426.84,-94.11
430.01,-103.40
433.01,-103.09
436.30,-109.98
438.33,-103.24
440.11,-70.49
441.55,-85.73
445.04,-66.63
446.69,-66.68
447.99,-72.72
449.28,-66.76
450.57,-65.19
453.02,-64.46
453.41,-71.67
454.34,-74.10
454.83,-66.11
456.06,-81.35
457.99,-87.00
460.03,-77.46
462.50,-79.13
464.95,-81.60
467.98,-64.89
471.24,-51.39
474.46,-33.88
477.67,-37.17
482.82,-25.32
486.35,-16.62
489.65,-16.72
492.50,-59.19
495.13,-20.87
497.98,-26.55
500.83,-5.84
503.68,-41.11
505.97,-48.38
508.26,-52.44
510.54,-62.91
512.87,-62.17
516.37,-52.67
517.13,-37.50
520.36,-41.59
523.94,-38.49
527.64,-40.20
532.28,-53.13
535.99,-62.83
540.06,-62.15
543.53,-59.85
548.07,-71.18
552.18,-48.90
556.12,-59.41
558.83,-49.89
562.07,-42.78
564.07,-26.04
566.08,-23.70
568.75,-28.57
570.74,-12.63
572.43,-11.08
575.08,0.04
578.45,-23.25
581.58,-61.74
584.94,-65.83
588.11,-50.73
592.23,-37.24
596.95,-34.98
600.44,-40.68
605.65,-35.21
610.52,-17.73
614.17,-36.22
617.85,-49.12
620.12,-50.75
622.91,-80.95
625.41,-74.85
628.00,-94.59
629.67,-75.54
630.97,-84.18
632.31,-87.90
633.90,-79.93
635.13,-73.80
637.61,-76.93
639.62,-68.35
642.22,-72.10
644.01,-72.13
646.01,-72.78
647.60,-71.58
650.75,-63.65
653.75,-61.24
655.11,-64.96
657.02,-60.69
658.38,-58.87
660.02,-56.44
661.96,-47.87
663.71,-61.44
664.29,-47.30
667.49,-61.51
670.40,-53.57
672.14,-51.14
673.43,-62.24
674.68,-53.65
676.20,-57.99
677.73,-54.94
680.27,-54.37
684.35,-29.84
711.08,-57.98
719.40,-67.31
721.48,-64.88
722.71,-67.97
723.75,-55.06
724.90,-42.77
726.74,-39.72
729.90,-45.30
737.66,-52.78
742.19,-47.30
744.15,-54.10
745.68,-49.81
746.76,-60.90
748.65,-68.92
753.27,-57.91
756.54,-57.95
760.10,-48.15
763.56,-35.89
766.71,-39.01
769.27,-31.04
771.78,-25.53
774.05,-28.03
776.56,-12.68
779.65,-9.64
782.58,-8.45
785.33,-15.25
787.42,-31.27
789.24,-37.76
792.81,-27.65
794.83,-71.37
798.26,-68.33
801.96,-66.52
805.33,-54.85
807.98,-56.72
810.03,-34.58
812.19,-53.05
814.51,-48.14
816.55,-40.16
819.04,-30.33
821.59,-21.12
823.88,-37.13
832.19,-32.88
834.82,-31.66
837.44,-33.53
840.06,-29.23
842.68,-15.72
845.29,-9.58
847.91,-12.67
850.80,-20.69
853.42,-32.40
856.63,-4.73
860.67,-6.60
863.78,-26.31
866.93,-58.33
869.96,-57.12
873.35,-78.67
876.32,-72.54
878.65,-78.09
880.82,-74.42
883.50,-64.59
886.17,-58.45
889.18,-63.39
892.85,-61.57
897.28,-57.91
900.33,-58.54
902.00,-33.31
903.44,-40.70
904.39,-43.77
905.59,-39.47
906.78,-35.78
908.46,-39.47
910.85,-39.47
915.87,-46.24
921.37,-54.85
924.48,-62.85
926.44,-58.54
927.67,-59.16
928.49,-45.01
931.87,-44.39
935.86,-32.08
938.93,-27.16
942.09,-0.09
944.55,-15.47
947.25,-7.47
949.57,-1.32
952.11,7.30
954.91,10.37
957.39,-35.16
959.63,-18.55
965.25,-43.16
968.79,-29.01
972.53,-23.47
976.26,-19.78
979.99,-11.78
984.03,-26.55
988.61,-30.24
993.23,-18.24
997.39,-27.78
1002.02,-35.46
1006.18,-33.90
1007.11,-43.74
1011.27,-44.33
1016.75,-16.61
1018.14,-33.84
1023.77,-7.96
1025.11,-23.95
1028.99,-21.17
1029.84,-51.62
1032.91,-41.14
1036.15,-55.28
1038.58,-58.96
1040.76,-53.41
1043.03,-49.70
1045.19,-42.93
1047.22,-47.22
1049.05,-44.14
1051.33,-41.05
1053.61,-42.88
1055.90,-42.25
1058.17,-39.17
1060.23,-32.39
1062.31,-16.99
1064.60,-9.60
1067.53,10.72
1070.55,36.58
1072.79,-25.55
1074.74,-31.70
1076.65,9.54
1078.23,-5.84
1079.89,-3.98
1081.65,-19.97
1083.26,-7.04
1084.86,-5.80
1086.46,-38.40
